customer_id,age,gender,city,account_tenure_months,credit_limit,credit_score,utilization_ratio,high_utilization_flag,total_spend,avg_transaction_value,max_transaction_value,transaction_count,high_value_txn_count,avg_monthly_spend,last_month_spend,first_month_spend,spend_change_ratio,spend_dining,spend_electronics,spend_entertainment,spend_fuel,spend_groceries,spend_online shopping,spend_travel,spend_utilities,total_repaid,avg_payment_delay,max_payment_delay,delayed_payment_count,severe_delay_count,net_spend_to_limit_ratio,repaid_ratio,churn_risk_flag,high_value_customer_flag,spend_drop_flag,low_recent_spend_flag,frequent_delay_flag,severe_delay_flag,credit_stress_flag,low_credit_score_flag,low_transaction_flag,no_recent_activity_flag,churn_signal_count,churn_risk_level,priority_retention_flag,data_validation_passed
100000,59,Male,Hyderabad,94,150000.0,337.0,0.27,False,31103.07,3887.88375,14610.58,8.0,0.0,3887.88375,14610.58,1849.1,6.901454761775999,0.0,16459.68,0.0,1661.85,4925.66,3336.23,4719.65,0.0,44885.86,11.666666666666666,15.0,3.0,0.0,0.2073538,1.4431327839984929,True,False,False,False,True,False,False,True,False,False,2,Medium Risk,False,True
100001,49,Male,Chennai,110,150000.0,438.0,1.1,True,9410.15,3136.7166666666667,5308.23,3.0,0.0,4705.075,3724.12,5686.03,-0.34504038846084173,0.0,0.0,0.0,377.8,5308.23,0.0,0.0,3724.12,76148.20999999999,14.285714285714286,30.0,5.0,3.0,0.06273433333333334,8.092135619517222,True,False,True,False,True,True,True,True,False,False,5,High Risk,False,True
100002,35,Male,Hyderabad,59,50000.0,494.0,0.65,False,10138.699999999999,3379.566666666666,8030.67,3.0,0.0,5069.349999999999,8241.39,1897.31,3.3437234821932105,210.72,0.0,9927.98,0.0,0.0,0.0,0.0,0.0,21925.489999999998,15.0,15.0,3.0,0.0,0.20277399999999998,2.1625543708759505,True,False,False,False,True,False,False,True,False,False,2,Medium Risk,False,True
100003,63,Female,Bengaluru,79,200000.0,826.0,0.96,True,14889.490000000002,2127.07,6612.35,7.0,0.0,2481.581666666667,737.77,4231.46,-0.8256464671768137,0.0,0.0,9139.960000000001,0.0,780.3,0.0,0.0,4969.23,32248.030000000002,15.0,30.0,1.0,1.0,0.07444745000000001,2.1658250215420405,True,False,True,True,False,True,True,False,False,False,4,High Risk,False,True
100004,28,Male,Hyderabad,27,75000.0,300.0,0.31,False,8275.33,1655.066,6433.93,5.0,0.0,2068.8325,7541.1,206.92,35.44451962110961,6433.93,0.0,1107.17,0.0,313.89,206.92,0.0,213.42,10500.44,0.0,0.0,0.0,0.0,0.11033773333333333,1.2688847453817553,False,False,False,False,False,False,False,True,False,False,1,Low Risk,False,True
100005,41,Male,Mumbai,88,50000.0,606.0,0.61,False,16571.71,5523.903333333333,9348.11,3.0,0.0,8285.855,6794.03,9777.68,-0.30514907421801496,9348.11,0.0,0.0,429.57,0.0,0.0,6794.03,0.0,17492.63,10.0,10.0,1.0,0.0,0.33143419999999996,1.055571814857972,True,False,True,False,False,False,False,False,False,False,1,Low Risk,False,True
100006,59,Female,Kolkata,70,200000.0,395.0,0.46,False,22088.23,3155.4614285714283,6362.22,7.0,0.0,3681.3716666666664,4018.3,5570.05,-0.2785881634814768,0.0,0.0,0.0,2583.05,0.0,13119.650000000001,0.0,6385.530000000001,10394.07,5.0,5.0,2.0,0.0,0.11044115,0.47057052556950013,False,False,False,False,True,False,False,True,False,False,2,Medium Risk,False,True
100007,39,Female,Chennai,69,75000.0,712.0,1.0,True,15916.22,3979.055,8369.0,4.0,0.0,3979.0550000000003,6993.34,8369.0,-0.1643756721233122,0.0,6993.34,8556.97,0.0,0.0,0.0,0.0,365.91,27075.910000000003,0.0,0.0,0.0,0.0,0.21221626666666665,1.7011520323292846,True,False,False,False,False,False,True,False,False,False,1,Low Risk,False,True
100008,43,Male,Mumbai,76,150000.0,837.0,0.08,False,28413.489999999998,4059.0699999999997,8199.65,7.0,0.0,4059.0699999999997,6840.42,1201.62,4.692664902381785,0.0,0.0,7993.57,8199.65,1201.62,1228.7,9789.95,0.0,22390.62,12.5,15.0,2.0,0.0,0.18942326666666665,0.7880277994713075,True,False,False,False,True,False,False,False,False,False,1,Low Risk,False,True
100009,31,Female,Hyderabad,9,75000.0,728.0,0.33,False,19498.52,3249.7533333333336,11777.14,6.0,0.0,3249.7533333333336,2623.76,11777.14,-0.7772158605569773,0.0,0.0,0.0,0.0,3243.17,14400.81,782.51,1072.03,0.0,0.0,0.0,0.0,0.0,0.2599802666666667,0.0,True,False,True,False,False,False,False,False,False,False,1,Low Risk,False,True
